[1.3605125, 1.2691514] 
[1.1297197, 1.0060531] 
[1.2767859, 1.4007092] 
[1.3672655, 1.3443701] 
[1.3886455, 1.3700614] 
[1.5088513, 1.2869068] 
[1.3045499, 1.1284374] 
[1.2766161, 0.99923617] 
[1.3498693, 1.1297008] 
[1.3169551, 1.0919228] 
[1.341968, 1.3214475] 
[1.0206506, 1.0807456] 
[1.1882062, 1.152115] 
[1.1408997, 1.232617] 
[1.2274381, 1.2415528] 
[1.342802, 1.0703843] 
[1.1799731, 1.0207683] 
[1.1699355, 0.9617702] 
[1.2750959, 1.1197348] 
[1.0097891, 0.8309648] 
[1.3526552, 1.2468745] 
[1.0386143, 1.0990642] 
[1.1561472, 1.3203356] 
[1.0759816, 0.9467471] 
[1.4432433, 1.3267491] 
[1.3882086, 1.1980369] 
[1.2264922, 1.0833832] 
[1.300894, 1.1387717] 
[1.1265377, 0.9822238] 
[1.2575967, 1.0475516] 
[1.2305442, 1.2890509] 
[1.4158297, 1.1201072] 
[1.4996461, 1.070574] 
[1.0925889, 1.2188704] 
[1.1188599, 1.1190271] 
[1.3848063, 1.1928985] 
[1.1583006, 0.9289633] 
[1.2858084, 1.0463759] 
[1.3255703, 1.0694758] 
[1.4662844, 1.234978] 
[0.9816112, 1.1739497] 
[1.2379451, 0.91217935] 
[1.4143727, 1.4689169] 
[1.0641348, 1.1076357] 
[1.536778, 1.2518055] 
[1.2255121, 0.98519814] 
[1.12749, 1.0303644] 
[1.5152029, 1.246854] 
[1.3023758, 1.1384572] 
[0.9965019, 0.88896435] 
[1.3194916, 1.332952] 
[1.226886, 0.9989245] 
[1.2298528, 1.1305511] 
[1.0834303, 1.1095815] 
[1.1563605, 1.1945704] 
[1.1595585, 1.0177081] 
[1.2243605, 1.0593036] 
[1.4417677, 1.172043] 
[1.1457669, 0.98758185] 
[1.1309067, 0.929942] 
[0.94654757, 1.0916575] 
[1.1661198, 1.4153028] 
[1.0943037, 1.1130081] 
[1.3004386, 1.265064] 
[1.5211132, 1.3621259] 
[1.434941, 1.2105864] 
[1.1437304, 1.0434126] 
[1.0002557, 0.88238806] 
[1.2167566, 1.0597997] 
[1.1292381, 1.0196351] 
[1.3496234, 1.3464394] 
[1.2644473, 1.1460354] 
[1.4186401, 1.4092693] 
[1.4118556, 1.1261123] 
[1.2595801, 1.3086752] 
[1.3094933, 1.1691014] 
[1.1508809, 1.0099832] 
[1.1881758, 1.0331128] 
[1.349629, 1.1088753] 
[1.1492362, 1.0459398] 
[1.2403431, 1.0342895] 
[1.245944, 1.4038701] 
[1.2136371, 1.2946247] 
[1.0609814, 0.9808631] 
[1.2278986, 1.159557] 
[1.3393178, 1.1987729] 
[1.5504891, 1.303406] 
[1.0345306, 0.9180661] 
[1.1722281, 1.0613801] 
[1.3792689, 1.2087119] 
[1.1309237, 1.2426152] 
[1.3578081, 1.375912] 
[1.0574787, 1.0738539] 
[1.0372927, 1.0486573] 
[1.0218751, 1.1945999] 
[1.4219136, 1.1750588] 
[1.177496, 0.91625595] 
[1.4469278, 1.1308942] 
[1.1487434, 1.0242946] 
[1.0669103, 0.90460384] 
[0.93302405, 0.97727096] 
[1.2982857, 1.1022449] 
[1.191189, 1.1362121] 
[1.1870451, 1.258852] 
[1.1725109, 1.3070132] 
[1.2118351, 1.0663917] 
[1.3947575, 1.2467077] 
[1.1125102, 0.94291353] 
[1.1776286, 1.0539495] 
[1.1237668, 1.0121808] 
[1.0856979, 1.0818777] 
[1.2817967, 1.2946563] 
[1.1556265, 1.1512742] 
[1.203491, 1.3250735] 
[1.1660266, 1.1141043] 
[1.423215, 1.2602338] 
[1.0991521, 0.99865246] 
[1.0096462, 0.8751383] 
[1.2376429, 1.0044388] 
[1.0024992, 0.8795217] 
[1.2616516, 1.3710697] 
[1.0946789, 0.95545995] 
[1.0775998, 1.305872] 
[1.3767209, 1.1436098] 
[1.1619571, 1.1904404] 
[1.3068728, 1.1372235] 
[1.1474612, 0.98811233] 
[1.0874226, 0.9683376] 
[1.3672558, 1.1435702] 
[1.1392756, 0.96358895] 
[0.95072424, 1.0823653] 
[1.3620803, 1.131234] 
[1.1599019, 1.2533937] 
[1.3597885, 1.2562649] 
[1.3063538, 1.4857457] 
[1.1933141, 1.0373726] 
[1.1160774, 0.9793434] 
[1.367516, 1.2150965] 
[1.2277646, 1.0551121] 
[1.2160943, 1.020642] 
[0.9425589, 1.126559] 
[1.3405657, 1.3000336] 
[1.1806092, 1.186167] 
[1.3008759, 1.082403] 
[1.2814924, 1.182744] 
[1.2281039, 1.0447626] 
[1.2961843, 1.1330631] 
[1.186982, 1.0617957] 
[1.3995199, 1.2108274] 
[1.0336721, 0.88948107] 
[1.3939185, 1.2503731] 
[1.2664472, 1.2786009] 
[1.2229586, 1.2100215] 
[1.164377, 1.0798454] 
[1.391701, 1.2950671] 
[1.1409584, 0.9729958] 
[1.4297078, 1.2435879] 
[1.1592534, 1.0822068] 
[1.2884047, 1.155475] 
[1.4661485, 1.248385] 
[1.0199573, 0.89462286] 
[1.3676729, 1.2428699] 
[1.132068, 1.1023599] 
[1.285553, 1.2671802] 
[1.2413993, 1.1219097] 
[1.3806412, 1.2237476] 
[1.4570633, 1.207905] 
[1.1507486, 1.0161059] 
[1.4471762, 1.2757217] 
[1.2238368, 1.1037662] 
[0.9652889, 1.0337365] 
[1.1687393, 1.1576495] 
[1.2124109, 1.1909432] 
[1.438807, 1.3686513] 
[1.1948488, 1.2022474] 
[1.2815256, 1.1320077] 
[0.9244795, 0.779793] 
[0.9993056, 0.8431084] 
[1.2725688, 1.1067451] 
[1.0111637, 0.9128943] 
[1.2735219, 1.3079262] 
[1.0810373, 0.90323937] 
[1.1304692, 1.1208522] 
[1.4826219, 1.4189765] 
[1.4996626, 1.2901335] 
[1.2971942, 1.1252484] 
[1.083295, 0.92979974] 
[0.87536144, 0.7678259] 
[1.3276389, 1.1307384] 
[1.5313656, 1.3343914] 
[1.128308, 1.1106573] 
[1.1319519, 1.253659] 
[1.6493704, 1.4839251] 
[1.3369145, 1.2598128] 
[1.2187738, 1.275184] 
[1.1139494, 0.8990885] 
[1.3730223, 1.1851776] 
[1.2538985, 1.0877213] 
[1.2862395, 1.0817323] 
[1.0577872, 0.9619069] 
[1.1266019, 0.9743551] 
[1.3089956, 1.2476122] 
[1.2050743, 1.1927139] 
[1.1743841, 1.2064365] 
[1.1269808, 1.2198229] 
[1.4661286, 1.273716] 
[1.3115969, 1.1089134] 
[1.0818942, 0.89796007] 
[1.3024161, 1.0908067] 
[1.1329811, 0.95519984] 
[0.98331666, 1.2463009] 
[1.1548905, 1.0331547] 
[1.1222913, 1.182052] 
[1.5389588, 1.4814069] 
[1.4114223, 1.377588] 
[1.2265909, 0.9441488] 
[1.2124381, 1.061922] 
[1.2191211, 1.018703] 
[1.3424405, 1.1166183] 
[1.2698538, 1.1204394] 
[1.1176591, 1.0691798] 
[1.2295173, 1.2733924] 
[1.3099589, 1.0719317] 
[1.3243082, 1.2383733] 
[1.2374576, 1.2120028] 
[1.1397104, 0.9764316] 
[1.025976, 0.8490193] 
[1.3002028, 1.067805] 
[1.2192777, 1.0740576] 
[1.1423261, 0.99083185] 
[1.0043449, 0.9487126] 
[1.008641, 1.0339096] 
[1.1520214, 1.1370788] 
[1.0938652, 1.2308304] 
[1.0331116, 1.1217556] 
[1.2268224, 1.0146525] 
[1.2682086, 1.0661837] 
[1.2792822, 1.1141732] 
[1.1259121, 1.0094662] 
[1.3359907, 1.1525345] 
[1.2170814, 1.282011] 
[1.1375964, 1.1608686] 
[1.255162, 1.512425] 
[1.0670784, 1.0646698] 
[1.3741094, 1.2135394] 
[1.420771, 1.2065003] 
[1.1469028, 0.9661559] 
[1.2171946, 1.0669796] 
[1.2654843, 1.1621876] 
[1.2657588, 1.1009475] 
[1.0960463, 1.0811863] 
[1.149596, 1.0039078] 
[1.2643437, 1.1359403] 
[1.245182, 1.2140441] 
[1.4703437, 1.4403244] 
[1.2511047, 1.0308615] 
[1.3280294, 1.2029781] 
[1.1609101, 1.0343823] 
[1.2426976, 1.0587001] 
[1.2881557, 1.1559303] 
[1.1046358, 1.0978984] 
[1.549607, 1.3923948] 
[1.24121, 1.51074] 
[1.1780791, 1.2059891] 
[1.2001708, 1.267353] 
[1.116318, 0.9628529] 
[1.0242045, 0.9195472] 
[1.2014294, 0.9616416] 
[1.1212275, 0.91752416] 
[1.4087045, 1.223032] 
[1.100697, 0.99742675] 
[1.330849, 1.1563835] 
[1.106581, 1.2620007] 
[1.4497488, 1.3412824] 
[1.4598175, 1.1001273] 
[1.0544698, 0.90160924] 
[0.95110345, 0.8091107] 
[1.7619691, 1.5422897] 
[1.2776936, 1.1684482] 
[1.1251469, 0.93060327] 
[0.9435894, 1.0929116] 
[1.4167384, 1.5142915] 
[1.1738538, 1.0357386] 
[1.2475399, 1.1445391] 
[1.1549304, 1.1609942] 
[0.92016876, 0.78813636] 
[1.50475, 1.2297516] 
[1.1110916, 0.9627234] 
[1.3505393, 1.1046584] 
[1.111433, 0.9570439] 
[1.1019992, 1.2011023] 
[1.1800143, 1.3823647] 
[1.3341013, 1.1033425] 
[1.0615327, 1.2636254] 
[1.2766047, 1.2092004] 
[1.204345, 1.012914] 
[1.0886356, 0.96833575] 
[1.2595873, 1.1368912] 
[1.2961106, 1.1579663] 
[1.2221683, 0.96921676] 
[1.0921054, 1.2122767] 
[1.1429014, 1.1674439] 
[1.053015, 1.2034703] 
[1.1348152, 1.1829324] 
[1.232996, 1.2796395] 
[1.1740272, 0.99191594] 
[1.0404975, 0.9359808] 
[1.3943021, 1.2227318] 
[1.1637526, 0.9653665] 
[1.2760036, 1.0932735] 
[0.9772583, 1.0130792] 
[1.3473816, 1.3249104] 
[1.1634612, 1.3024329] 
[1.0125101, 1.2242907] 
[1.090621, 1.1587017] 
[1.2911446, 1.1374146] 
[1.2033023, 1.016187] 
[1.099746, 0.9555377] 
[1.24038, 1.0316272] 
[1.1640031, 1.0229943] 
[1.1417749, 1.1859558] 
[1.2261996, 1.1204908] 
[1.1624714, 1.0867286] 
[1.2278433, 1.1100662] 
[1.0986626, 1.1243184] 
